"valår","region","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"2002","Avesta",9.6,9.5,8.8,7.0,3.5,50.0,9.7,0.8,1.1
"2002","Ludvika",8.9,4.6,7.7,5.9,3.9,53.9,13.2,1.1,0.9
"2002","Ockelbo",6.7,15.4,6.6,5.9,2.8,46.9,13.4,0.8,1.4
"2002","Hofors",6.5,5.1,7.7,4.3,3.3,56.4,15.4,1.2,0.2
"2002","Ovanåker",7.4,23.2,8.0,13.8,3.7,35.7,6.8,0.3,1.0
"2002","Nordanstig",7.0,20.0,7.9,8.6,4.5,39.4,9.2,0.7,2.7
"2002","Ljusdal",8.2,14.6,9.0,7.4,4.4,41.8,12.9,0.9,0.8
"2002","Gävle",11.8,4.4,12.9,7.4,5.0,46.5,10.0,1.5,0.6
"2002","Sandviken",9.1,6.5,8.5,6.5,3.7,51.8,11.8,1.1,1.1
"2002","Söderhamn",7.6,10.9,8.2,7.0,3.7,45.1,15.0,0.8,1.7
"2002","Bollnäs",9.6,18.1,11.4,7.5,4.8,37.2,9.1,0.8,1.3
"2002","Hudiksvall",8.1,15.0,7.8,7.1,5.6,42.6,11.8,0.6,1.4
"2002","Ånge",7.0,12.6,6.2,6.4,3.3,50.1,12.0,1.0,1.4
"2002","Timrå",5.4,8.3,8.0,5.9,2.3,55.0,12.5,1.5,1.2
"2002","Härnösand",10.0,10.5,10.1,7.4,5.7,45.6,9.6,0.4,0.7
"2002","Sundsvall",10.9,6.9,12.1,6.9,4.2,46.4,10.0,1.4,1.3
"2002","Kramfors",6.8,13.9,5.4,5.8,3.7,51.0,12.6,0.4,0.5
"2002","Sollefteå",6.8,9.9,5.7,7.4,4.1,53.4,11.5,0.7,0.6
"2002","Örnsköldsvik",6.4,12.0,8.0,10.3,2.6,51.8,7.0,0.1,1.7
"2002","Ragunda",7.7,18.0,4.0,3.2,3.2,49.4,12.0,0.2,2.4
"2002","Bräcke",8.3,14.9,5.5,2.6,3.3,52.2,11.4,0.1,1.6
"2002","Krokom",9.1,20.6,5.4,5.2,6.4,41.8,9.6,0.3,1.6
"2002","Strömsund",6.5,15.3,4.7,4.3,3.1,50.8,13.3,0.3,1.7
"2002","Åre",12.2,17.1,7.7,7.0,6.7,37.3,8.7,0.1,3.1
"2002","Berg",8.6,22.1,5.4,6.8,5.3,39.0,10.0,0.3,2.5
"2002","Härjedalen",9.8,11.6,6.1,4.7,3.7,50.2,12.2,0.3,1.5
"2002","Östersund",11.1,13.2,9.2,5.2,5.8,43.2,11.0,0.3,1.1
"2002","Nordmaling",7.5,14.5,9.0,10.1,2.3,48.3,7.5,0.2,0.7
"2002","Bjurholm",14.1,20.0,10.5,10.2,0.9,39.0,4.0,0.2,1.0
"2002","Vindeln",8.6,19.9,9.5,11.3,2.3,39.5,7.4,0.3,1.3
"2002","Robertsfors",5.7,30.4,5.4,8.9,2.1,38.8,8.0,0.2,0.5
"2002","Norsjö",4.1,19.6,6.7,9.0,1.7,44.1,13.7,0.1,1.0
"2002","Malå",6.1,9.0,8.5,7.2,2.0,48.8,17.3,0.1,0.9
"2002","Storuman",8.2,13.7,8.0,11.4,3.6,42.3,10.0,0.3,2.4
"2002","Sorsele",5.6,15.3,6.4,11.7,4.7,44.1,9.4,0.5,2.3
"2002","Dorotea",3.8,12.6,9.2,4.6,1.8,55.1,11.0,0.3,1.7
"2002","Vännäs",5.5,18.6,6.9,8.9,3.2,44.8,11.5,0.4,0.2
"2002","Vilhelmina",3.2,12.7,8.7,11.4,3.3,48.2,10.2,0.6,1.7
"2002","Åsele",5.2,17.2,5.8,6.0,1.9,52.4,9.1,0.4,2.0
"2002","Umeå",7.8,8.6,11.8,7.5,6.5,43.9,12.6,0.3,1.0
"2002","Lycksele",5.5,8.4,10.9,10.9,2.1,50.6,9.9,0.4,1.4
"2002","Skellefteå",5.0,10.2,9.5,8.5,3.6,50.7,11.5,0.4,0.7
"2002","Arvidsjaur",5.1,7.5,5.4,4.3,1.9,53.9,14.5,0.0,7.4
"2002","Arjeplog",3.9,9.3,5.5,5.7,4.5,45.8,14.8,0.0,10.6
"2002","Jokkmokk",4.1,3.2,5.4,3.7,8.7,45.3,13.5,0.0,15.9
"2002","Överkalix",3.6,9.3,3.2,3.5,3.3,53.7,13.1,0.2,10.2
"2002","Kalix",6.4,6.2,4.9,4.0,8.8,53.4,10.1,0.2,6.0
"2002","Övertorneå",6.4,11.8,2.6,6.1,3.1,36.8,12.8,0.1,20.2
"2002","Pajala",5.0,4.2,2.2,7.9,2.5,35.5,19.5,0.0,23.0
"2002","Gällivare",7.0,1.9,4.0,3.4,4.9,41.9,16.6,0.8,19.5
"2002","Älvsbyn",4.0,7.5,4.0,6.2,2.4,53.6,15.0,0.2,7.2
"2002","Luleå",9.9,4.8,9.8,5.8,6.2,47.0,11.6,0.2,4.7
"2002","Piteå",4.7,6.1,6.2,6.4,4.0,55.5,11.9,0.4,4.8
"2002","Boden",10.0,3.9,6.8,5.2,5.0,47.3,11.6,0.2,10.0
"2002","Haparanda",11.5,10.8,3.9,5.5,4.2,44.8,9.8,0.2,9.2
"2002","Kiruna",4.5,1.9,4.2,3.9,5.3,40.9,14.8,0.5,24.0
"2006","Upplands Väsby",34.5,4.0,9.0,6.3,5.2,30.6,5.8,2.5,2.1
"2006","Vallentuna",42.1,7.5,8.8,7.1,6.1,20.9,3.4,1.8,2.3
