år,region,inkomst,arbetslösa,befolkning,arbetslöshet
2002,1430 Munkedal,126.2,235,10434,2.252252252
2002,1435 Tanum,123.1,241,12210,1.973791974
2002,1438 Dals-Ed,122.8,174,5044,3.44964314
2002,1439 Färgelanda,128.5,112,6939,1.614065427
2002,1440 Ale,144.7,558,25835,2.159860654
2002,1441 Lerum,157.9,514,35558,1.44552562
2002,1442 Vårgårda,133,173,10668,1.621672291
2002,1443 Bollebygd,148.1,82,7831,1.047120419
2002,1444 Grästorp,130.9,101,5848,1.727086183
2002,1445 Essunga,124.8,99,5757,1.719645649
2002,1446 Karlsborg,133.8,181,6967,2.59796182
2002,1447 Gullspång,119.6,120,5765,2.081526453
2002,1452 Tranemo,135.3,139,11988,1.159492826
2002,1460 Bengtsfors,131.1,369,10516,3.50893876
2002,1461 Mellerud,122.6,279,9807,2.844906699
2002,1462 Lilla Edet,135.7,231,13010,1.775557264
2002,1463 Mark,132.1,612,33015,1.853702862
2002,1465 Svenljunga,125.5,132,10529,1.253680312
2002,1466 Herrljunga,127.2,144,9486,1.518026565
2002,1470 Vara,124,297,16009,1.855206446
2002,1471 Götene,134.2,276,12983,2.12585689
2002,1472 Tibro,131.3,357,10624,3.360316265
2002,1473 Töreboda,118.2,254,9426,2.694674305
2002,1480 Göteborg,153.2,13785,474921,2.902588009
2002,1481 Mölndal,162.6,890,57079,1.559242453
2002,1482 Kungälv,154.8,476,37912,1.255539143
2002,1484 Lysekil,140.2,359,14801,2.42551179
2002,1485 Uddevalla,139.2,1106,49683,2.22611356
2002,1486 Strömstad,128.3,206,11218,1.836334462
2002,1487 Vänersborg,146.1,779,37025,2.103983795
2002,1488 Trollhättan,150.6,1298,52937,2.451971211
2002,1489 Alingsås,144.8,698,35327,1.975825856
2002,1490 Borås,142.6,1993,98150,2.030565461
2002,1491 Ulricehamn,134,388,22299,1.73998834
2002,1492 Åmål,134.1,469,12829,3.655779874
2002,1493 Mariestad,136.2,656,23743,2.762919597
2002,1494 Lidköping,139.7,828,36941,2.241411981
2002,1495 Skara,138.4,444,18311,2.424771995
2002,1496 Skövde,144.9,1164,49405,2.356036838
2002,1497 Hjo,130.8,242,8845,2.736009045
