år,region,inkomst
2010,1435 Tanum,163.2
2010,1438 Dals-Ed,148.4
2010,1439 Färgelanda,156.7
2010,1440 Ale,182.7
2010,1441 Lerum,197.6
2010,1442 Vårgårda,165.9
2010,1443 Bollebygd,187.2
2010,1444 Grästorp,163.4
2010,1445 Essunga,162
2010,1446 Karlsborg,180.3
2010,1447 Gullspång,158.1
2010,1452 Tranemo,172.2
2010,1460 Bengtsfors,156
2010,1461 Mellerud,148.2
2010,1462 Lilla Edet,172.1
2010,1463 Mark,169.6
2010,1465 Svenljunga,161.9
2010,1466 Herrljunga,166.9
2010,1470 Vara,162.8
2010,1471 Götene,170
2010,1472 Tibro,165.9
2010,1473 Töreboda,154.4
2010,1480 Göteborg,187.1
2010,1481 Mölndal,203.2
2010,1482 Kungälv,198.3
2010,1484 Lysekil,181.6
2010,1485 Uddevalla,176.3
2010,1486 Strömstad,161.8
2010,1487 Vänersborg,177.6
2010,1488 Trollhättan,176.5
2010,1489 Alingsås,183.3
2010,1490 Borås,177.4
2010,1491 Ulricehamn,170.7
2010,1492 Åmål,160.1
2010,1493 Mariestad,173.1
2010,1494 Lidköping,181.6
2010,1495 Skara,176.8
2010,1496 Skövde,183.1
2010,1497 Hjo,170.4
2010,1498 Tidaholm,163.4
2010,1499 Falköping,166.1
2010,1715 Kil,168.5
2010,1730 Eda,143.7
2010,1737 Torsby,161.1
2010,1760 Storfors,165.2
2010,1761 Hammarö,199
2010,1762 Munkfors,160.6
2010,1763 Forshaga,165.9
2010,1764 Grums,170.6
2010,1765 Årjäng,137.8
2010,1766 Sunne,160.1
2010,1780 Karlstad,184.4
2010,1781 Kristinehamn,170.9
2010,1782 Filipstad,162.5
2010,1783 Hagfors,166.4
2010,1784 Arvika,166.7
2010,1785 Säffle,161.5
2010,1814 Lekeberg,171.3
2010,1860 Laxå,177.7
2010,1861 Hallsberg,172.1
2010,1862 Degerfors,175.1
2010,1863 Hällefors,164.8
2010,1864 Ljusnarsberg,159.9
2010,1880 Örebro,178
2010,1881 Kumla,173.4
2010,1882 Askersund,177.5
2010,1883 Karlskoga,187.4
2010,1884 Nora,177.9
2010,1885 Lindesberg,171.4
2010,1904 Skinnskatteberg,170.1
2010,1907 Surahammar,178.6
2010,1960 Kungsör,176.2
2010,1961 Hallstahammar,170.7
2010,1962 Norberg,174.7
2010,1980 Västerås,191.1
2010,1981 Sala,170.4
2010,1982 Fagersta,184.2
2010,1983 Köping,173.2
2010,1984 Arboga,172.9
2010,2021 Vansbro,156.2
